,Video_id,Comments
141,0pKRAwlf_Xs,And who said your to old.. I can't stop crying tears of joy
142,0pKRAwlf_Xs,Watched the full video a few hours ago and it turly was a heart warming video . I really got chocked up some and little water eyed . If some people haven't seen the full video yet . I would really recommend watching it . Thanks Yes theory for sharing such a wonderful and beautiful and heart warming video for people to enjoy .
143,0pKRAwlf_Xs,"I love this video ❤️
But why does she sound like Donald trump 😂"
144,0pKRAwlf_Xs,You guys are the best😃😃
145,0pKRAwlf_Xs,❤🙏
146,0pKRAwlf_Xs,That's What Living Is All About🤟🏼
147,0pKRAwlf_Xs,"This was so powerful and beautiful- actually, I have somehow missed that episode.. will watch now✌️"
148,0pKRAwlf_Xs,One of my favorites video forever! 😍
149,0pKRAwlf_Xs,Awww! Seriously THE sweetest!
150,0pKRAwlf_Xs,Yeahhhhh.go girllll
151,0pKRAwlf_Xs,Thats actually amazing
152,0pKRAwlf_Xs,"Doing what Yes Theory does best, sharing the love and adventure!"
153,f9zemgF-LdE,Lets gooo!!! Guys im in San Diego and am a content creator and really want to do more content! plz help
154,f9zemgF-LdE,"Come back to australia, go to vivid sydney"
155,f9zemgF-LdE,First 500 subs omg 😱!
156,f9zemgF-LdE,"It was a really enjoyable series in Ireland, and please go to Greece for the next one. I feel like the beauty of Greece has really been forgotten by the economic crisis, and it would be amazing to see you in my home country doing activities. If you decide you want to go there I recommend you some nice places to visit, that aren't that popular. For example: Mount Athos in the third peninsula of Chalkidiki,  Castle of Rhodes, Corfu, Oracle of Delphi, and  Island of Hydra where they use Mules instead of cars. Anyways, really enjoyed this series and wish you all good luck for your next adventure."
157,f9zemgF-LdE,Honestly its crazy that these islands exist
158,f9zemgF-LdE,Crazy he actually had an island all for himself.
159,f9zemgF-LdE,Its so weird seeing these shorts without many likes and views
160,f9zemgF-LdE,POV YOUR THE FIRST COMMENT ON THIS CHANNEL
161,ThCqFPWUpto,"That´s so cool. Truely a once in a lifetime experience. Would love to do this, too."
162,ThCqFPWUpto,"I've always wanted to to this...
I guess by the time i have money for this ...
Space travel will be cheap
Fingers crossed #musk"
163,ThCqFPWUpto,Remembering this episode - this dude was so nice 💪
164,ThCqFPWUpto,Hello everyone 💕💕💕
165,ThCqFPWUpto,I want to do that one day too!
166,ThCqFPWUpto,Just when I thought I’d seen every Yes Theory video. When was this?!
167,ThCqFPWUpto,🚀🚀🚀🚀😍😍😍😍🚀🚀🚀
168,ThCqFPWUpto,What a dream!
169,JFU1ZrS6wvQ,Man 😄u did it 🏆💪
170,JFU1ZrS6wvQ,Shorts from yes theory yessss
171,JFU1ZrS6wvQ,You guys made a new channel and didn't tell uss
172,JFU1ZrS6wvQ,Crazy
173,JFU1ZrS6wvQ,Nice
174,JFU1ZrS6wvQ,🚀🚀🚀🚀🚀
175,JFU1ZrS6wvQ,MRBEAST WHEN HE GOES BROKE BE LIKE
176,GYVfAVmX8pQ,"So interesting to hear Derin’s point of view.  I think it is great Matt that you asked Derin to help you with the book.  Double closure for both you on your adventure with yes theory.  What I see foremost is your sincere friendship.  To be able to speak up the truth to someone, to be able to trust that person, that is a beautiful adventure in itself.  Waiting for my book!  Maybe I’ll meet you in Montreal someday!  Wish you all the best in your future projects to both of you guys!"
177,GYVfAVmX8pQ,This was very insightful.  Beautiful guys 🤍
178,GYVfAVmX8pQ,Podcast for the drive home! Have a great weekend
179,GYVfAVmX8pQ,Apparently there is a hold up with UK deliveries! Anyone else having trouble? Hope it’s not to long! Looking forward to it
180,GYVfAVmX8pQ,Love this open and direct conversation between you two! I've been wondering about this behind the doors to Yes Theory and I think Derin explained it so well from his perspective of why it doesn't fit for everyone and why it's okay. I also like how he views seeking discomfort - that it doesn't have to mean skidiving every day. I think I understand much better now your reasons for leaving. Great episode! Looking forward to receive the book already! All the best Matt for the journey ahead and enjoy the well-deserved rest!
181,GYVfAVmX8pQ,how Derin ended up is my nightmare
182,GYVfAVmX8pQ,❤❤❤
183,GYVfAVmX8pQ,"Just finished the book and right after, watched this podcast🫶🏻
Congrats to you both, and Matt, I wish you beautiful life in the years to come🫶 
I liked the book a lot, laughed and teared up...as Derin said, it is easygoing read, well done!"
184,GYVfAVmX8pQ,"Thank you Matt, thank you Derin for your honesty and for living the life you desire. I just read Tao te king from Lao Tseu, maybe you have it Derin. If not, let's open these pages that bring so much energy! I am happy to be able to read yours soon. Just waiting for it to cross the ocean ! Take care"
185,GYVfAVmX8pQ,"Derin, there is a library near you 🤓📚"
186,GYVfAVmX8pQ,"Congratulations to you both! Derin, I hope you got out of your comfort zone and celebrated a little bit 😉 Loved hearing about all the behind the scenes of writing the book together, what an accomplishment. It was lovely meeting you both at the Montreal book meet up, such a wholesome evening🥰 Impatiently waiting for my copy to arrive and dive in😊"
187,GYVfAVmX8pQ,I'm a Yes Theory OG and y'all are my favorite two people from this channel. I wish you guys well and hope to meet y'all someday. My book is on its way
188,GYVfAVmX8pQ,I totally resonate with Derin‘s personality and work story. 😍
189,GYVfAVmX8pQ,❤❤❤
190,GYVfAVmX8pQ,"Wow Derin speaks very directly and sometimes it comes off as a bit hurtful, to my ears at least. Both of you be proud of what you’ve done!"
191,GYVfAVmX8pQ,"Love Derin! Also, one of those is my signed copy!"
192,GYVfAVmX8pQ,"hey matt i read the book and SO well written. it made me ugly cry SO HARD in some parts. you made your pain really come trough but also your joy. i also didn't expect how funny sometimes the writing can be . you can tell you guys put alot of thought and were very smart in cutting the ""fat"" of the story. almost like a movie script (makes sense since daron writes scripts). good job and enjoy your rest!"
193,GYVfAVmX8pQ,"Guys, this is our 2nd to last episode of Matt's Going Away Party 🥲 Just thought I'd give you a heads up. LOVE YOU ALL!"
194,GYVfAVmX8pQ,I literally just finished the book!!!! Did Derin end up getting Canadian citizenship? ❤
195,GYVfAVmX8pQ,Can't wait for my copy to arrive
196,dHtcA3yN_Go,Why am i tearing up even before hitting on play 😅😢
197,dHtcA3yN_Go,"NYT bestseller, baby!"
198,dHtcA3yN_Go,You guys 👦 are amazing good luck on your life journey 🎉🎉🎉🎉
199,dHtcA3yN_Go,You guys are tryimg very hard to remain relevant while you are undergoing a self dismantling. It Is What It Is.
200,dHtcA3yN_Go,mine copy was bought for a month now
201,dHtcA3yN_Go,No alcohol? Really? That’s my kind of party!! 🙌🙌🥳🤩🥰
202,dHtcA3yN_Go,The hug the arms around each other..like the ironman..so great...thank you..❤❤ back flip 2.0 it will be..🎉😅
203,dHtcA3yN_Go,جاء جبريل إلى النبي صلى الله عليه وسلم فقال: يامحمد عش ماشئت فإنك ميت واعمل ماشئت فإنك مجزى به وأحبب من شئت فإنك مفارقه وأعلم أن شرف المؤمن صلاته بالليل وعزه استغناؤه عن الناس
204,dHtcA3yN_Go,"You guys made me into who I am today. I was so shy, so anxious and so scared of the world before. My 14 yr old self would not believe how far I've come, and a large part of it is thanks to Yes Theory. Thank you, thank you, thank you. You all deserve the best possible life, whatever that may look like."
205,dHtcA3yN_Go,Love you both and Yes Theory. Been watching Yes Theory since the beginning. So proud of all your accomplishments and always inspired by you all. 💕
206,dHtcA3yN_Go,"I feel like Ammar gives the best hugs in the world 

Soulmates💛"
207,dHtcA3yN_Go,"I think Matt really needs to feel valued. Not so much by others but by himself first. And to feel this way, he has to go his own way, build something from scratch outside of Yes Theory, and be proud of it. But that path will have to be a resilient one so good luck!"
208,dHtcA3yN_Go,Anyone has any idea where Tommy is?
209,dHtcA3yN_Go,I wonder if you guys considering getting Derin into Podcast? I am a Turkish guy who lives in Canada. I am really excited to hear the part of his side of the YES THEORY. :)
210,dHtcA3yN_Go,"You guys gave us a perspective we wouldn't see it fully over the years by going places and meeting people as well as showing us a stranger is a friend you just haven't met yet, ..... so thanks a lot ...... love your brotherly bond, it is big and real .... love you guys .... ❤❤❤"
211,dHtcA3yN_Go,this was so beautiful.
212,dHtcA3yN_Go,"I just wanna say: thanks for doing this. I think you should know how much you guys have helped in the struggles people have in this day and age. Many of the things you share can be reflected upon ones own experiences and friendships. So hearing these things from such inspiring people like you is truly heartwarming. I'm not even sure if you guys realise how much impact you make. Not even necissarily through the Yes Theory 'brand', but through yourselves as human beings. I've orderdered three books, of which two I will gift to two of my best friends, whom with I share a very similar friendship like you guys do in my opinion. I haven't even read the book yet, but I wanna finish with one last note: you have been so inspiring and made me think of life and goals from such a different perspective. It feels like guys give that last gentle push in actually following your gut, seek discomfort, pursuing ones dreams. You actually change peoples lives. Thanks so much for that."
213,dHtcA3yN_Go,Beautiful podcast. Enjoyed this conversation. I've been enjoying all of them so far but this one definitely a little more so even. As far as China I mean it's just governments ... Powerful people wanting more power. People are people. Much love.
214,dHtcA3yN_Go,They the cutest ❤😊 but also get a room 😂jks jks
215,dHtcA3yN_Go,AMMAR TALK ABOUT YOUR BOYFRIEND AND WHAT DID YOU DO TO THE TWO BOYS IN EGYPT
216,qG2b47HrRys,"Hey guys! Thank you for watching this episode with our ultra light beam, Staffan! 
We noticed the glitch in the intro and wanted to apologize. It only last for a few moments, so no worries on it happening during the episode. :)

Enjoy!"
217,qG2b47HrRys,"Staffan feels like the embodiment of John Lennon's song, Imagine. ""you may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us..."" <3"
218,qG2b47HrRys,You guys are such beautiful beings. I love how Staffan expressed about true friendship. What a beam of light 🙏🏻🤍
219,qG2b47HrRys,Bullying is HORRIBLE. Sending all of you love 🫶🫶🫶
220,qG2b47HrRys,best one yet!
221,qG2b47HrRys,120% of nonsense I am shocked anyone can buy this !!! TOMMY is disrespectful bully and this guy had to step in so Thomas will keep control
222,qG2b47HrRys,"""Trusting a future that did not exist yet""..dreaming..visions..plans as a chlld and still when under threat. Oh man Staffan..so much recognize myself in you..only that is of so much value for me now in darker period after I thought the light was on after 55 years being 'prisoner' of another family-related relationshp disorder&trauma...(but others want(ed) to put it out again and still depended on them)..Thank you..❤❤"
223,qG2b47HrRys,"Wow. Staffan, continue to shine your light ✨ Your experience and how you  express your journey and spread this knowledge to others is truly a gift. I’m so grateful to have listened to this conversation. Matt, thank you for opening up a platform in the form of this podcast to dive deeper into different topics and discussions. It’s given me more insight on why you all do what you do collectively and individually. I’m excited to purchase your book and get to know more about your journey and message. Thank you guys for being who you are! 🙏🫶✨"
224,qG2b47HrRys,22:04 Staffan really popped off here describing what a friend is and should be. Beautiful stuff man
225,qG2b47HrRys,"8:21 ""We are too small to decide what life is going to give to us."" 👏👏"
226,qG2b47HrRys,What a precious angel he is! Giving hope to humanity!
227,qG2b47HrRys,"Hi Stefan,
thank you for mentioning some of your background story. This tiny little insight of your past gives me hope and encurages me."
228,qG2b47HrRys,"Incredible interview. The vulnerability, wisdom and authenticity emanating from you two are unreal. It's rare and so refreshing to see. Thanks to both of you for being so raw and relatable x

P.S. Staffan is such an inspiring ray of sunshine!"
229,qG2b47HrRys,Staffan is such a gift to the world.
230,qG2b47HrRys,Staffan makes everyone feel like we are not alone. He wants everyone to connect. I dream of being the female Staffan lol my goal is to be an amazing thoughtful loving person like you Staffan. You have saved so many people. You saved me
231,qG2b47HrRys,"Yes! Thank you so much for this interview, I just got it recommended by a friend because he realized I was talking about similar things 😍 I really feel this."
232,qG2b47HrRys,Steffan should do a podcast with a stranger once a month somewhere on an SD adventure. Just a friend he hasn’t met yet!
233,qG2b47HrRys,"Hi, thanks for sharing your struggles and stories. I feel sometimes it takes more courage to talk about pain than to show up strongly. Glad that you find where you belong after all those struggles and you still hold that value you believe."
234,qG2b47HrRys,So powerful
235,qG2b47HrRys,This brought back so much emotions that I literally had to go to the video where this all started 4 years ago and rewatch it
236,tr2wJ_xEGmE,"I have to say that I'm trying not to watch all the videos as soon as they come out just to keep the idea that the end is not that close. But I can't, I will get updated today.  Thank you so much for bringing this episode, so genuine, so interesting and so full of very good facts. It makes me understand better why the Yes Theory idea has impacted my life so deeply, and why it keeps doing it. I can not think enough of how much I will miss you Matt. Thanks for this episode and as always, for your heart on it. I LOVE YOU❤"
237,tr2wJ_xEGmE,"Now we know how cool he is, and one of the reasons is because of the burrito blanket! 🌯🤩"
238,tr2wJ_xEGmE,"Matt you should really start by formally introducing your guests. I want to be interested right away, but like who am I even listening to? Ok he is a yes theory investor but who is he? Would be better to frame the conversation before he dives into his life story"
239,tr2wJ_xEGmE,"Tom is such an interesting guy.  Probably my favorite podcast so far.  Thanks to him for accepting and thanks to you, Matt, for making an amazing podcast choice :)"
240,tr2wJ_xEGmE,"Tom seems as genuine and loveable as the rest of the Yes Theory Family, and is clearly an extremely effective professional. 

Very excited to read this book ❤"
241,tr2wJ_xEGmE,Love you matt❤
242,tr2wJ_xEGmE,wow what a refreshing guy! He’s got that no bs vibe but with the classic yes theory kindness all of the members have . It makes sense why he’s such a core part of yes theory
243,tr2wJ_xEGmE,The love story is real ❤️❤️❤️❤️❤️😭
244,tr2wJ_xEGmE,"Not to take away credit to yes theory guys, but the people they have around are fundamental to their success. It’s like a machine."
245,tr2wJ_xEGmE,This was such a valuable episode! Wish we could all have a Tom of our own but appreciate the wisdom he shared here. Thanks to both of your gentle spirits for sharing your experiences. I hope it has been cathartic for you Matt!
246,tr2wJ_xEGmE,Very I nteresting to get a glimpse of the behind the scene of the start of Yes theorie.  We really feel that Tom reeeally cares about Yes theory and you guys.  He is the mentor and guardian angel of yes theory. You were lucky to have him but you guys sweat and did the great job 👌
247,tr2wJ_xEGmE,"How Tom is looking at Matt is so pure and real ! I understand why the word ""dad"" came during the  conversation. He is here for you, and at the same time he gives you the space you need to grow ! Merci pour le partage"
248,tr2wJ_xEGmE,love these! cheers matt
249,tr2wJ_xEGmE,We love Tom 🫶🏻❤️ thank you for sharing
250,tr2wJ_xEGmE,"Every time you see Tom from now onwards, you have to say 'All-Right Boyo' 😂🏴󠁧󠁢󠁷󠁬󠁳󠁿"
251,tr2wJ_xEGmE,Tom is ICONIC
252,tr2wJ_xEGmE,Loving your vibe!
253,tr2wJ_xEGmE,I love this content and everything that you share from behind the scenes! Thank you for these podcasts! I am so excited for your journey. Please take us with you ❤
254,tr2wJ_xEGmE,love this!!
255,tr2wJ_xEGmE,Finally! Thomas spoke a lot about Tom during the live cohort 🤩
256,yF2bCT2i5ZU,"what a fantastic retrospective, magical serendipity you can feel the vibes"
257,yF2bCT2i5ZU,Yes Theory and TBL teaming up to make a documentary called The Ripple Effect…. This will be the greatest documentary ever
258,yF2bCT2i5ZU,"when matt asked ""did you feel it too?"" im here like ""YES, I FELT IT TOO"". This conversation was so brilliant."
259,yF2bCT2i5ZU,so much knowledge in this episode. 3 persons who decided to push themselves and achieve what it felt like impossible.
260,yF2bCT2i5ZU,Matt has 3 brothers? bruh that house must ve been chaos
261,yF2bCT2i5ZU,When Matt said “you get high from it a little bit” … so the way I see it is… when you talk to people of your same vibe and talk about things that inspire you and make you feel so alive— that’s what happens. It’s like a spiritual thing. It awakens you again and lights you up. You feel so connected and at ease like everything make sense.
262,yF2bCT2i5ZU,"I feel SO inspired right now!!! Also, something was said that was very healing for me. Loved this so much. I was sad for it to end because I was just so loving this video."
263,yF2bCT2i5ZU,by far my favorite episode
264,yF2bCT2i5ZU,"this was such a different era of TV and MTV. i loved coming home from school to watch the buried life episodes i had recorded on the DVR.... i had the biggest crush on ben back then!! so glad to see you guys are friends, it makes sense.  two generations of the same philosophy."
265,yF2bCT2i5ZU,"This is one of the most hype pods I’ve ever seen, such incredible and inspirational stories, absolutely cannot wait to see that documentary 🙏🏼❤️"
266,yF2bCT2i5ZU,man on the right is so sexy
267,yF2bCT2i5ZU,Where can you watch the buried life without paying an arm and a leg or having a subscription?
268,yF2bCT2i5ZU,So excited for the ripple effect doc !! Im gonna back and watch the buried life and rewatch project30 to see the influence these guys had on them. Thanks for introducing these incredible guys to us Matt!
269,yF2bCT2i5ZU,"This is on another level, so inspiring, you guys are legends ❤ The ripple effect makes so much sense and continues, full circle moment!"
270,yF2bCT2i5ZU,1:39:24 - outcome independence!! Yes Matt!!
271,yF2bCT2i5ZU,"This podcast is so underrated. I truly think this episode could help tons of young adults trying to find their ""purpose"" or ""meaning"" in life. It's so subjective. Find what you love by trying things and continue to do them if they make you happy. There are no rules!"
272,yF2bCT2i5ZU,"1:20:20 - amazingly put!!! Don't worry too much about what your purpose is in life, just follow what it is that you want to be doing now :)"
273,yF2bCT2i5ZU,So damn inspiring!! You are all freaking legends.
274,yF2bCT2i5ZU,"Wow, this might be the most powerful episode of the podcast yet for me. ""I became in love with the adventure of finding out what the next adventure is."" Love this reframe. Going to hold that quote tight whenever I forget to enjoy the process of trying things and having fun before I die."
275,yF2bCT2i5ZU,"After watching the buried life, I quit my job, got an RV and traveling the United States for 3 months exploring exploring the landscapes, meeting people, different non profit organizations. These guys changed my life."
276,PZTdXbG-0Jc,Stay in the moment. Be thankful for where you are. Pause and reflect always.
277,NKsYrkoPgq0,"If you have any ideas on how we can help, let us know."
278,NKsYrkoPgq0,From the river to the sea !!!!!
279,NKsYrkoPgq0,🫶🏻🇵🇸🌎🌍🌏☮️🕊️🫶🏻
280,NKsYrkoPgq0,Saying NO to genocide isn't that hard.
281,NKsYrkoPgq0,Love over war merch drop? with all donations going to the people most affected?
282,NKsYrkoPgq0,Honestly feels like your hearts are going out to one very specific side of this community smh
283,NKsYrkoPgq0,I'm a big fan. I live in Israel. I was wondering what you're going to say. Nas Daily has responded beautifully.
